,Player_Id,Runs,Over_count,Econ_Rate,cluster,Player_Name,Bowling_Skill,DOB,Country
138,38,1465.0,203.83333333333334,7.19,1,SK Warne,Legbreak googly,13-Sep-69,Australia
139,83,1397.0,197.0,7.09,1,M Kartik,Slow left-arm orthodox,11-Sep-76,India
140,109,2378.0,301.0,7.9,1,JA Morkel,Right-arm medium-fast,10-Jun-81,South Africa
141,39,1909.0,259.5,7.36,1,SK Trivedi,Right-arm medium,04-Sep-82,India
142,73,2321.0,307.0,7.56,1,A Nehra,Left-arm medium-fast,29-Apr-79,India
143,80,1736.0,227.66666666666666,7.63,1,DS Kulkarni,Right-arm medium,10-Dec-88,India
144,299,1989.0,288.3333333333333,6.9,1,B Kumar,Right-arm medium,05-Feb-90,India
145,84,2092.0,266.5,7.85,1,I Sharma,Right-arm fast-medium,02-Sep-88,India
146,89,1982.0,269.6666666666667,7.35,1,R Bhatia,Right-arm medium-fast,22-Oct-79,India
147,315,1656.0,265.6666666666667,6.23,1,SP Narine,Right-arm offbreak,26-May-88,West Indies
148,364,1674.0,214.83333333333334,7.79,1,MM Sharma,Right-arm medium,18-Sep-88,India
149,136,2941.0,411.0,7.16,2,A Mishra,Legbreak,24-Nov-82,India
150,50,3162.0,457.0,6.92,2,Harbhajan Singh,Right-arm offbreak,03-Jul-80,India
151,81,2917.0,356.8333333333333,8.17,2,R Vinay Kumar,Right-arm medium,12-Feb-84,India
152,14,3135.0,421.5,7.44,2,P Kumar,Right-arm medium,02-Oct-86,India
153,94,2350.0,359.8333333333333,6.53,2,DW Steyn,Right-arm fast,27-Jun-83,South Africa
154,131,2379.0,324.1666666666667,7.34,2,PP Ojha,Slow left-arm orthodox,05-Sep-86,India
155,29,2653.0,350.1666666666667,7.58,2,IK Pathan,Left-arm medium-fast,27-Oct-84,India
156,15,2511.0,338.3333333333333,7.42,2,Z Khan,Left-arm fast-medium,07-Oct-78,India
157,67,3123.0,412.0,7.58,2,PP Chawla,Legbreak,24-Dec-88,India
158,194,2611.0,401.1666666666667,6.51,2,SL Malinga,Right-arm fast,28-Aug-83,Sri Lanka
159,71,2778.0,351.6666666666667,7.9,2,DJ Bravo,Right-arm medium-fast,07-Oct-83,West Indies
160,201,2528.0,393.1666666666667,6.43,2,R Ashwin,Right-arm offbreak,17-Sep-86,India
161,258,636.0,83.0,7.66,3,DT Christian,Right-arm fast-medium,04-May-83,Australia
162,255,636.0,86.16666666666667,7.38,3,STR Binny,Right-arm medium,03-Jun-84,India
163,346,994.0,119.33333333333333,8.33,3,JD Unadkat,Left-arm medium,18-Oct-91,India
164,248,710.0,100.0,7.1,3,DE Bollinger,Left-arm fast-medium,24-Jul-81,Australia
165,377,833.0,104.16666666666667,8.0,3,TG Southee,Right-arm medium-fast,11-Dec-88,New Zealand
166,192,801.0,118.16666666666667,6.78,3,J Botha,Right-arm offbreak,02-May-82,South Africa
167,238,626.0,89.0,7.03,3,SW Tait,Right-arm fast,22-Feb-83,Australia
168,191,1031.0,129.33333333333334,7.97,3,AD Mathews,Right-arm fast-medium,02-Jun-87,Sri Lanka
169,162,747.0,96.5,7.74,3,CH Gayle,Right-arm offbreak,21-Sep-79,West Indies
170,256,734.0,95.66666666666667,7.67,3,Harmeet Singh,Slow left-arm orthodox,07-Sep-92,India
171,223,810.0,114.83333333333333,7.05,3,DP Nannes,Left-arm fast,16-May-76,Australia
172,154,805.0,113.83333333333333,7.07,3,JP Duminy,Right-arm offbreak,14-Apr-84,South Africa
173,235,1093.0,155.83333333333334,7.01,3,R Sharma,Right-arm offbreak,30-Apr-87,India
174,188,1074.0,144.16666666666666,7.45,3,RJ Harris,Right-arm fast,11-Oct-79,Australia
175,196,621.0,81.0,7.67,3,A Singh,Right-arm medium-fast,21-Jun-81,India
176,163,1004.0,128.33333333333334,7.82,3,MC Henriques,Right-arm fast-medium,01-Feb-87,Australia
177,27,1044.0,142.83333333333334,7.31,3,Yuvraj Singh,Slow left-arm orthodox,12-Dec-81,India
178,56,694.0,90.0,7.71,3,A Symonds,Right-arm offbreak,09-Jun-75,Australia
179,124,1089.0,163.83333333333334,6.65,3,A Kumble,Legbreak googly,17-Oct-70,India
180,66,1111.0,152.66666666666666,7.28,3,B Lee,Right-arm fast,08-Nov-76,Australia
181,31,1371.0,190.33333333333334,7.2,3,YK Pathan,Right-arm offbreak,17-Nov-82,India
182,77,1208.0,157.83333333333334,7.65,3,S Sreesanth,Right-arm fast-medium,06-Feb-83,India
183,120,1261.0,151.66666666666666,8.31,3,MS Gony,Right-arm medium,04-Jan-84,India
184,175,886.0,130.83333333333334,6.77,3,DL Vettori,Slow left-arm orthodox,27-Jan-79,New Zealand
185,116,985.0,121.0,8.14,3,PJ Sangwan,Left-arm medium,05-Nov-90,India
186,147,669.0,79.16666666666667,8.45,3,DR Smith,Right-arm medium,12-Apr-83,West Indies
187,140,1063.0,151.5,7.02,3,Iqbal Abdulla,Slow left-arm orthodox,02-Dec-89,India
188,21,1029.0,142.0,7.25,3,SK Raina,Right-arm offbreak,27-Nov-86,India
189,186,1415.0,178.16666666666666,7.94,3,SB Jakati,Slow left-arm orthodox,27-Nov-80,India
190,267,722.0,100.16666666666667,7.21,3,WD Parnell,Left-arm medium-fast,30-Jul-89,South Africa
191,276,1076.0,154.83333333333334,6.95,3,Shakib Al Hasan,Slow left-arm orthodox,24-Mar-87,Bangladesh
192,378,725.0,102.0,7.11,3,MA Starc,Left-arm fast,30-Jan-90,Australia
193,374,1218.0,164.33333333333334,7.41,3,AR Patel,Slow left-arm orthodox,20-Jan-94,India
194,382,1249.0,158.0,7.91,3,YS Chahal,Legbreak googly,23-Jul-90,India
195,370,866.0,112.33333333333333,7.71,3,PV Tambe,Legbreak,08-Oct-71,India
196,367,1221.0,162.16666666666666,7.53,3,Sandeep Sharma,Right-arm medium,18-May-93,India
197,359,609.0,78.16666666666667,7.79,3,IC Pandey,Right-arm medium,15-Aug-89,India
198,356,652.0,85.5,7.63,3,R Dhawan,Right-arm medium-fast,19-Feb-90,India
199,166,1136.0,142.83333333333334,7.95,3,KV Sharma,Legbreak googly,23-Oct-87,India
200,375,971.0,118.33333333333333,8.21,3,JJ Bumrah,Right-arm medium,06-Dec-93,India
201,350,1060.0,142.16666666666666,7.46,3,CH Morris,Right-arm fast-medium,30-Apr-87,South Africa
202,321,686.0,92.0,7.46,3,Azhar Mahmood,Right-arm fast-medium,28-Feb-75,Pakistan
203,357,1367.0,173.83333333333334,7.86,3,MG Johnson,Left-arm fast,02-Nov-81,Australia
204,311,941.0,113.66666666666667,8.28,3,HV Patel,Right-arm medium,23-Nov-90,India
205,316,568.0,77.66666666666667,7.31,3,GB Hogg,Slow left-arm chinaman,06-Feb-71,Australia
206,333,1019.0,128.83333333333334,7.91,3,P Awana,Right-arm medium,19-Jul-86,India
207,334,912.0,108.5,8.41,3,AD Russell,Right-arm fast,29-Apr-88,West Indies
208,296,1065.0,129.16666666666666,8.25,3,VR Aaron,Right-arm fast,29-Oct-89,India
209,293,1201.0,171.16666666666666,7.02,3,S Nadeem,Slow left-arm orthodox,12-Aug-89,India
210,309,759.0,100.0,7.59,3,KK Cooper,Right-arm medium,16-Feb-89,West Indies
211,310,1562.0,187.16666666666666,8.35,3,JP Faulkner,Left-arm fast-medium,29-Apr-90,Australia
212,270,779.0,99.66666666666667,7.82,3,S Aravind,Left-arm medium-fast,08-Apr-84,India
213,403,844.0,106.16666666666667,7.95,3,MJ McClenaghan,Left-arm fast-medium,11-Jun-86,New Zealand
