,Balls_played,Batting_Hand,Bowling_Skill,Country,DOB,Econ_Rate,Over_count,Player_Id,Player_Name,Runs,Strike_Rate,cluster
66,276.0,Right_Hand,,India,29-Jun-90,,,329,Gurkeerat Singh,342.0,123.91,0
67,162.0,Left_Hand,,India,06-Jan-93,,,322,P Negi,209.0,129.01,0
68,9.0,Right_Hand,,India,18-Jun-86,,,332,K Upadhyay,12.0,133.33,0
69,184.0,Right_Hand,,England,08-Sep-90,,,407,JC Buttler,255.0,138.59,0
70,29.0,Left_Hand,,New Zealand,11-Jun-86,,,403,MJ McClenaghan,47.0,162.07,0
71,102.0,Right_Hand,,India,27-Oct-97,,,402,SN Khan,177.0,173.53,0
72,90.0,Right_Hand,,South Africa,18-May-85,,,401,D Wiese,127.0,141.11,0
73,14.0,Right_Hand,,India,22-Jul-88,,,433,ER Dwivedi,24.0,171.43,0
74,75.0,Left_Hand,,India,27-Dec-93,,,431,N Rana,104.0,138.67,0
75,119.0,Right_Hand,,South Africa,31-Mar-83,,,427,HM Amla,157.0,131.93,0
76,100.0,Left_Hand,,Australia,18-Dec-86,,,426,UT Khawaja,127.0,127.0,0
77,64.0,Right_Hand,,England,15-Jun-91,,,421,SW Billings,88.0,137.5,0
78,152.0,Left_Hand,,India,04-Oct-97,,,420,RR Pant,198.0,130.26,0
79,40.0,Left_Hand,,Australia,29-Dec-93,,,417,TM Head,54.0,135.0,0
80,8.0,Right_Hand,,South Africa,18-Jun-87,,,416,KJ Abbott,13.0,162.5,0
81,124.0,Left_Hand,,India,24-Mar-91,,,413,KH Pandya,237.0,191.13,0
82,13.0,Right_Hand,,India,21-Aug-85,,,412,P Sahu,19.0,146.15,0
83,108.0,Right_Hand,,Australia,16-Aug-89,,,409,MP Stoinis,146.0,135.19,0
84,38.0,Right_Hand,,West Indies,18-Jul-88,,,408,CR Brathwaite,83.0,218.42,0
85,31.0,Right_Hand,,West Indies,05-Nov-91,,,391,JO Holder,38.0,122.58,0
